"PRODUCERSOURCECD","ytd_pretax_income","ytd_tax","income_year"
"AG005946",1930500.00,96525.00,2017
"AG005950",20116663.00,1005831.00,2017
"AG005983",35148189.00,1757408.00,2017
"AG006000",3536760.00,176837.00,2017
"AG006004",74287479.00,3714372.00,2017
"AG006008",3678400.00,183920.00,2017
"AG006012",33112930.00,1655645.00,2017
"AG006015",16925700.00,846284.00,2017
"AG006027",19998555.00,999927.00,2017
"AG006031",20802270.00,1040112.00,2017
"AG006032",9179740.00,458986.00,2017
"AG006051",953175.00,47658.00,2017
"AG006054",2657500.00,132873.00,2017
"AG006058",11492741.00,574634.00,2017
"AG006068",994350.00,49717.00,2017
"AG006070",775125.00,38756.00,2017
"AG006073",232547920.00,11627395.00,2017
"AG006077",12174971.00,608748.00,2017
"AG006082",2545050.00,127252.00,2017
"AG006085",1372050.00,68602.00,2017
"AG006091",600450.00,30022.00,2017
"AG006093",16492156.00,824605.00,2017
"AG006104",12655963.00,632798.00,2017
"AG006123",2943360.00,147168.00,2017
"AG006127",8702400.00,435120.00,2017
"AG006141",7134825.00,356741.00,2017
"AG006143",10332162.00,516607.00,2017
"AG006146",100902534.00,5045125.00,2017
"AG006152",415860.00,20793.00,2017
"AG006156",1899225.00,94960.00,2017
"AG006177",23709281.00,1185462.00,2017
"AG006179",2967145.00,148357.00,2017
"AG006180",22022268.00,1101111.00,2017
"AG006184",167870302.00,8393513.00,2017
"AG006187",67624522.00,3381225.00,2017
"AG006238",7621926.00,381096.00,2017
"AG006263",5592896.00,279644.00,2017
"AG006265",3048975.00,152448.00,2017
"AG006277",45273328.00,2263665.00,2017
"AG006279",155250752.00,7762536.00,2017
"AG006282",1040831685.00,52041583.00,2017
"AG006291",1979925.00,98995.00,2017
"AG006302",1449360.00,72468.00,2017
"AG006307",9441475.00,472073.00,2017
"AG006311",6713850.00,335692.00,2017
"AG006312",2335600.00,116779.00,2017
"AG006319",1846015.00,92300.00,2017
"AG006325",12494139.00,624705.00,2017
"AG006326",78548417.00,3927420.00,2017
"AG006327",36887357.00,1844366.00,2017
"AG006338",900500.00,45025.00,2017
"AG006350",4575175.00,228758.00,2017
"AG006351",2708355.00,135417.00,2017
"AG006352",1255775.00,62788.00,2017
"AG006355",6733089.00,336654.00,2017
"AG006373",4110300.00,205515.00,2017
"AG006379",15441226.00,772061.00,2017
"AG006398",11437413.00,571869.00,2017
"AG006399",22870366.00,1143516.00,2017
"AG006403",12391731.00,619585.00,2017
"AG006411",4383625.00,219181.00,2017
"AG006421",2298325.00,114915.00,2017
"AG006460",11027888.00,551394.00,2017
"AG006466",2269200.00,113460.00,2017
"AG006472",9493285.00,474663.00,2017
