"PRODUCERSOURCECD","ytd_pretax_income","ytd_tax","income_year"
"AG002924",2384650.00,119232.00,2016
"AG002927",274757598.00,13737876.00,2016
"AG002928",1298652820.00,64932635.00,2016
"AG002929",32023769.00,0.00,2016
"AG002930",26127320.00,0.00,2016
"AG002932",1036676500.00,51833818.00,2016
"AG002937",89776365.00,0.00,2016
"AG002939",97103514.00,0.00,2016
"AG002940",13132957.00,656646.00,2016
"AG002941",105709042.00,5314110.00,2016
"AG002942",499889455.00,24994468.00,2016
"AG002946",38325779.00,0.00,2016
"AG002948",23614799.00,0.00,2016
"AG002951",10281065.00,514051.00,2016
"AG002954",5152525.00,257625.00,2016
"AG002958",418175.00,20908.00,2016
"AG002960",112255724.00,5612784.00,2016
"AG002962",12191899.00,609593.00,2016
"AG002971",6533978.00,326698.00,2016
"AG002974",20666496.00,0.00,2016
"AG002984",4535070.00,226753.00,2016
"AG002987",1242550.00,62127.00,2016
"AG003005",3134850.00,156742.00,2016
"AG003011",31435447.00,0.00,2016
"AG003012",168169292.00,8408462.00,2016
"AG003013",612465416.00,30623265.00,2016
"AG003021",123431502.00,6171571.00,2016
"AG003025",13228760.00,0.00,2016
"AG003031",5909235.00,295461.00,2016
"AG003034",7762809.00,388139.00,2016
"AG003041",485108470.00,24255418.00,2016
"AG003046",37979593.00,0.00,2016
"AG003056",1896040.00,94802.00,2016
"AG003060",44754779.00,0.00,2016
"AG003062",27524955.00,1376247.00,2016
"AG003081",98236730.00,0.00,2016
"AG003086",31676771.00,1583837.00,2016
"AG003087",47186400.00,0.00,2016
"AG003089",23200168.00,1418425.00,2016
"AG003094",4198325.00,209915.00,2016
"AG003096",183376264.00,9168807.00,2016
"AG003102",52924141.00,0.00,2016
"AG003106",26175213.00,0.00,2016
"AG003120",41217734.00,0.00,2016
"AG003122",7177675.00,358882.00,2016
"AG003123",32177065.00,0.00,2016
"AG003131",74259108.00,0.00,2016
"AG003132",305384658.00,15269227.00,2016
"AG003134",3712950.00,185647.00,2016
"AG003137",183387568.00,9169373.00,2016
"AG003141",36018923.00,1800944.00,2016
"AG003142",78019783.00,0.00,2016
"AG003144",599519894.00,29975989.00,2016
"AG003148",126201964.00,6381985.00,2016
"AG003149",306465864.00,15395179.00,2016
"AG003153",3826275.00,191312.00,2016
"AG003155",671920.00,33596.00,2016
"AG003159",52946730.00,0.00,2016
"AG003170",8237450.00,411872.00,2016
"AG003172",21889003.00,0.00,2016
"AG003174",5821570.00,291077.00,2016
"AG003188",9813375.00,0.00,2016
"AG003199",418998128.00,20949903.00,2016
"AG003203",26323152.00,0.00,2016
"AG003209",14772165.00,738605.00,2016
"AG003216",175409024.00,8770449.00,2016
"AG003222",2745500.00,137274.00,2016
"AG003229",9668887.00,0.00,2016
"AG003231",82189792.00,0.00,2016
"AG003235",7201050.00,0.00,2016
"AG003239",30351642.00,0.00,2016
"AG003242",2245125.00,112256.00,2016
"AG003283",13548809.00,777987.00,2016
"AG003284",6889057.00,473660.00,2016
"AG003285",14012755.00,0.00,2016
"AG003290",295655466.00,14782768.00,2016
"AG003291",3394445.00,169722.00,2016
"AG003293",135424409.00,6771214.00,2016
"AG003297",1334500.00,66725.00,2016
"AG003298",71306484.00,0.00,2016
"AG003300",5771925.00,0.00,2016
"AG003302",42565198.00,0.00,2016
"AG003303",32086874.00,1676229.00,2016
"AG003305",2956400.00,147819.00,2016
"AG003306",1066975.00,53348.00,2016
"AG003308",53277574.00,0.00,2016
"AG003313",1368400.00,68420.00,2016
"AG003321",170353412.00,8517664.00,2016
"AG003327",1171845688.00,58593326.00,2016
"AG003330",937500.00,46875.00,2016
"AG003336",66571741.00,0.00,2016
"AG003346",8027953.00,401396.00,2016
"AG003358",19372152.00,0.00,2016
"AG003359",38162734.00,0.00,2016
"AG003360",38492310.00,0.00,2016
"AG003361",39192445.00,0.00,2016
"AG003373",3253025.00,162649.00,2016
"AG003374",639225.00,31961.00,2016
"AG003376",30071836.00,1503590.00,2016
"AG003377",292059988.00,14602994.00,2016
"AG003381",119232975.00,5961644.00,2016
"AG003382",498109741.00,24905483.00,2016
"AG003387",22693289.00,0.00,2016
"AG003398",6115235.00,305761.00,2016
"AG003401",27472068.00,0.00,2016
"AG003409",81037475.00,0.00,2016
"AG003410",63087775.00,0.00,2016
"AG003413",197154962.00,9857742.00,2016
"AG003414",794925.00,39746.00,2016
"AG003419",41163679.00,0.00,2016
"AG003420",35893712.00,0.00,2016
"AG003421",2525125.00,0.00,2016
"AG003431",946650.00,47332.00,2016
"AG003436",15352750.00,767637.00,2016
"AG003437",1455362.00,72768.00,2016
"AG003441",858929344.00,42946462.00,2016
"AG003442",44114320.00,0.00,2016
"AG003443",35541970.00,0.00,2016
"AG003446",355846748.00,20968432.00,2016
"AG003447",23769044.00,0.00,2016
"AG003448",18182803.00,0.00,2016
"AG003449",507572608.00,25424969.00,2016
"AG003450",183140803.00,9157037.00,2016
"AG003466",7910683.00,0.00,2016
"AG003473",5622400.00,281120.00,2016
"AG003489",543834.00,27191.00,2016
"AG003498",22050552.00,0.00,2016
"AG003504",8206780.00,410338.00,2016
"AG003513",26751725.00,0.00,2016
"AG003516",25590408.00,0.00,2016
"AG003517",28118543.00,0.00,2016
"AG003525",5479145.00,0.00,2016
"AG003526",48222617.00,0.00,2016
"AG003527",39833485.00,1991670.00,2016
"AG003532",86287412.00,0.00,2016
"AG003543",746783270.00,37339160.00,2016
"AG003546",59123912.00,0.00,2016
"AG003566",12453600.00,622678.00,2016
"AG003568",16015470.00,0.00,2016
"AG003570",92153249.00,0.00,2016
"AG003571",1943874.00,97193.00,2016
"AG003572",78232913.00,0.00,2016
"AG003576",18407339.00,0.00,2016
"AG003580",16111764.00,0.00,2016
"AG003591",80481257.00,0.00,2016
"AG003594",23818930.00,0.00,2016
"AG003606",932972827.00,46648636.00,2016
"AG003608",181101203.00,9055059.00,2016
"AG003609",19718945.00,0.00,2016
"AG003613",2927500.00,146374.00,2016
"AG003634",14669604.00,0.00,2016
"AG003640",10359320.00,517964.00,2016
"AG003643",27691523.00,0.00,2016
"AG003645",38083272.00,0.00,2016
"AG003647",315630908.00,15781543.00,2016
"AG003649",19357153.00,0.00,2016
"AG003652",7204144.00,360207.00,2016
"AG003653",43152059.00,0.00,2016
"AG003655",137252180.00,6862607.00,2016
"AG003669",9924808.00,496239.00,2016
"AG003670",13386832.00,0.00,2016
"AG003673",3786800.00,189340.00,2016
"AG003674",13426575.00,671326.00,2016
"AG003693",75509529.00,3775476.00,2016
"AG003707",2380950.00,119047.00,2016
"AG003708",307466200.00,15373306.00,2016
"AG003709",198841672.00,9942078.00,2016
"AG003710",155295574.00,7764773.00,2016
"AG003726",5026761.00,0.00,2016
"AG003732",24488645.00,0.00,2016
"AG003735",94218231.00,4710909.00,2016
"AG003740",11575410.00,0.00,2016
"AG003743",61987216.00,0.00,2016
"AG003744",2101125.00,105056.00,2016
"AG003745",26746804.00,1337337.00,2016
"AG003747",164221034.00,8211047.00,2016
"AG003766",3658416.00,182919.00,2016
"AG003769",41163594.00,0.00,2016
"AG003772",9158230.00,0.00,2016
"AG003775",22030240.00,1101510.00,2016
"AG003779",60999767.00,0.00,2016
"AG003787",6276180.00,313808.00,2016
"AG003793",333478553.00,16673923.00,2016
"AG003794",6047825.00,0.00,2016
"AG003807",249675.00,12483.00,2016
"AG003810",18877328.00,943863.00,2016
"AG003817",2686000.00,134299.00,2016
"AG003823",175194836.00,8759737.00,2016
"AG003840",22775044.00,0.00,2016
"AG003847",37246969.00,0.00,2016
"AG003854",1624750.00,81237.00,2016
"AG003865",54066020.00,0.00,2016
"AG003872",12850869.00,0.00,2016
"AG003874",21873904.00,0.00,2016
"AG003876",3040200.00,0.00,2016
"AG003878",859702008.00,42985093.00,2016
"AG003880",1464182100.00,73209100.00,2016
"AG003882",17672550.00,0.00,2016
"AG003885",129682588.00,6484124.00,2016
"AG003897",1265145.00,63257.00,2016
"AG003905",29765649.00,1488279.00,2016
"AG003918",57920021.00,0.00,2016
"AG003919",15399185.00,769957.00,2016
"AG003920",5060325.00,253015.00,2016
"AG003921",19309796.00,0.00,2016
"AG003923",257324340.00,12866211.00,2016
"AG003924",482542606.00,24127122.00,2016
"AG003927",90975700.00,0.00,2016
"AG003928",159042150.00,7952102.00,2016
"AG003931",167140152.00,8357001.00,2016
"AG003936",135525362.00,6776265.00,2016
"AG003937",25094949.00,0.00,2016
"AG003938",7193470.00,359671.00,2016
"AG003942",6602005.00,330100.00,2016
"AG003944",1650775.00,82538.00,2016
"AG003953",9972730.00,498635.00,2016
"AG003960",14803700.00,0.00,2016
"AG003963",4815628.00,312667.00,2016
"AG003982",8216714.00,410834.00,2016
"AG003988",52918728.00,2645933.00,2016
"AG004002",6432200.00,0.00,2016
"AG004004",42741792.00,0.00,2016
"AG004009",2324175.00,116208.00,2016
"AG004012",3740540.00,187027.00,2016
"AG004013",16214521.00,0.00,2016
"AG004016",10975730.00,0.00,2016
"AG004019",5962882.00,0.00,2016
"AG004026",2584770.00,0.00,2016
"AG004028",7083682.00,426067.00,2016
"AG004029",110120384.00,5506013.00,2016
"AG004034",808085274.00,40404258.00,2016
"AG004039",99902005.00,0.00,2016
"AG004041",6286860.00,314342.00,2016
"AG004042",6282780.00,0.00,2016
"AG004044",5799135.00,0.00,2016
"AG004045",2781223.00,139060.00,2016
"AG004046",4038780.00,201939.00,2016
"AG004047",8427059.00,421351.00,2016
"AG004048",338452126.00,16922601.00,2016
"AG004049",92650673.00,0.00,2016
"AG004050",157797587.00,7889873.00,2016
"AG004051",11455965.00,0.00,2016
"AG004059",4503840.00,225192.00,2016
"AG004061",107935019.00,5396746.00,2016
"AG004062",30412510.00,0.00,2016
"AG004070",4989028.00,249450.00,2016
"AG004080",5294325.00,0.00,2016
"AG004088",6151724.00,307585.00,2016
"AG004098",33642483.00,1768573.00,2016
"AG004102",5684810.00,284239.00,2016
"AG004106",21504879.00,0.00,2016
"AG004110",3414200.00,170710.00,2016
"AG004115",14603460.00,0.00,2016
"AG004117",571313.00,28565.00,2016
"AG004126",7407895.00,0.00,2016
"AG004132",28239975.00,0.00,2016
"AG004136",72537101.00,0.00,2016
"AG004148",5035500.00,251774.00,2016
"AG004149",1510314.00,75515.00,2016
"AG004154",8709318.00,507351.00,2016
"AG004156",53171607.00,2658577.00,2016
"AG004157",26680817.00,0.00,2016
"AG004159",253996774.00,12699832.00,2016
"AG004160",18721835.00,0.00,2016
"AG004165",1615275.00,80763.00,2016
"AG004171",859330003.00,42966495.00,2016
"AG004172",820586795.00,41029334.00,2016
"AG004174",4524100.00,226204.00,2016
"AG004175",103062921.00,5153140.00,2016
"AG004181",86174753.00,0.00,2016
"AG004182",31354509.00,0.00,2016
"AG004187",38545528.00,0.00,2016
"AG004189",11153550.00,0.00,2016
"AG004194",31653622.00,0.00,2016
"AG004227",5474940.00,273745.00,2016
"AG004240",655906509.00,32830969.00,2016
"AG004241",5553678.00,0.00,2016
"AG004242",18484387.00,0.00,2016
"AG004244",4855340.00,0.00,2016
"AG004246",3671310.00,0.00,2016
"AG004257",29809671.00,0.00,2016
"AG004258",17709234.00,0.00,2016
"AG004262",14976601.00,0.00,2016
"AG004269",11375805.00,0.00,2016
"AG004272",11741125.00,0.00,2016
"AG004275",56754502.00,0.00,2016
"AG004277",181945043.00,9097246.00,2016
"AG004283",55857801.00,0.00,2016
"AG004284",827475.00,41373.00,2016
