GRPPRODNSUMMBKSEQ,PRODNUNITCD,PRODNBASISCD,TRANSACTIONDT,PROCESSDT,PRODUCTSEQ,PRODUCTCD,PRODVERSION,PRODUCTORDER,ACCOUNTCD,PRODUCERCD,PRODUCERDESIGNCD,CHANNELTYPECD,ROOTAGENCYCD,PARENTAGENCYCD,PRODUCERBRANCHCD,PRODUCERSTATUSCD,SRCAGTCLASSIFICATIONCD,SRCAGTDESIGNCD,SRCAGTSTATUSCD,PRODNWEEK,PRODNMONTH,PRODNYEAR,PRODNGROUPCD,DESIGNGROUPCD,SRCPRODNGROUPCD,PRODNVALUE,SUPERVISORCD,SUPERVISORDESIGCD,TEAMCD,MONITORINGSTAFFCD,MONITORINGSTAFFDESIGNCD,MONITORINGSTAFFOFFICECD,MONITORINGGROUPCD,SRCAGTCHANNELCD,SRCAGTROOTAGENCYCD,SRCAGTPARENTAGENCYCD,SUPERVISORAGENTKEYCD,SUPERVISORDESIGNKEYCD,CREATEDBY,CREATEDDT,CREATEDAT,UPDATEDBY,UPDATEDDT,UPDATEDAT,ROWVERSION,PRODNSUMMSEQ,WEIGHTAGE
12510633,FYP,PREMIUM,2017-02-28,2017-02-28,670,ADD1,1,,,2708,IL,INHOUSE,2339,2339,2685,ACTIVE,,,,9,2,2017,ILDEF2,,PERSONNEL,346000,,,,23991,TH,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559711781,100
12510694,FYP,PREMIUM,2017-02-28,2017-02-28,670,ADD1,1,,,3137,IL,INHOUSE,2339,2339,2685,ACTIVE,,,,9,2,2017,ILDEF2,,PERSONNEL,270000,,,,23991,TH,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559712930,100
12510839,IP,PREMIUM,2017-02-28,2017-02-28,670,ADD1,1,,,27574,IL,INHOUSE,2339,2339,2685,ACTIVE,,,,9,2,2017,ILDEF2,,PERSONNEL,540000,,,,23991,TH,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559714573,100
12511443,FYP,PREMIUM,2017-02-28,2017-02-28,670,ADD1,1,,,25599,IL,INHOUSE,2339,2339,27144,ACTIVE,,,,9,2,2017,ILDEF2,,PERSONNEL,108000,,,,27469,TH,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559714774,100
12511492,FYP,PREMIUM,2017-02-28,2017-02-28,670,ADD1,1,,,25492,IL,INHOUSE,2339,2339,27151,ACTIVE,,,,9,2,2017,ILDEF2,,PERSONNEL,473000,,,,27470,TH,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559708307,100
12511584,CSCNT,POLICY,2017-02-28,2017-02-28,685,CIB1,1,,,30386,IL,INHOUSE,2339,2339,27153,ACTIVE,,,,9,2,2017,ILDEF2,,PERSONNEL,1,,,,27470,TH,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559722009,100
12511845,IP,PREMIUM,2017-02-28,2017-02-28,670,ADD1,1,,,15100,IL,INHOUSE,2339,2339,2686,ACTIVE,,,,9,2,2017,ILDEF2,,PERSONNEL,540000,,,,6583,TH,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559713139,100
12508300,REFIP,PREMIUM,2017-02-28,2017-02-28,700,FSR3,1,,,27389,TO,BANKSTAFF,27126,27126,,ACTIVE,,,,9,2,2017,TOEXI,,PERSONNEL,470000,27387,BR,,,,,,,,,27131,BK,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559717419,100
12508362,REFIP,PREMIUM,2017-02-28,2017-02-28,700,FSR3,1,,,5289,TO,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,TOTCB,,PERSONNEL,326000,5288,BR,,,,,,,,,3145,BK,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559708825,100
12508446,REFIP,PREMIUM,2017-02-28,2017-02-28,670,ADD1,1,,,3440,TO,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,TOTCB,,PERSONNEL,540000,3344,BR,,,,,,,,,3145,BK,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559709074,100
12508458,REFIP,PREMIUM,2017-02-28,2017-02-28,700,FSR3,1,,,3395,TO,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,TOTCB,,PERSONNEL,274000,3337,BR,,,,,,,,,3145,BK,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559709121,100
12508470,REFIP,PREMIUM,2017-02-28,2017-02-28,685,CIB1,1,,,16029,TO,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,TOTCB,,PERSONNEL,26470000,16026,BR,,,,,,,,,3145,BK,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559709139,100
12508494,REFIP,PREMIUM,2017-01-23,2017-02-28,685,CIB1,1,,,6415,TO,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,TOTCB,,PERSONNEL,25644000,6411,BR,,,,,,,,,3145,BK,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559709269,100
12508506,REFIP,PREMIUM,2017-02-28,2017-02-28,685,CIB1,1,,,5291,TO,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,TOTCB,,PERSONNEL,24164000,5288,BR,,,,,,,,,3145,BK,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559709328,100
12508512,REFIP,PREMIUM,2017-02-28,2017-02-28,685,CIB1,1,,,5334,TO,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,TOTCB,,PERSONNEL,8439000,5333,BR,,,,,,,,,3145,BK,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559709343,100
12508589,REFIP,PREMIUM,2017-01-25,2017-02-28,685,CIB1,1,,,4006,TO,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,TOTCB,,PERSONNEL,9264000,3337,BR,,,,,,,,,3145,BK,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559709709,100
12508622,REFIP,PREMIUM,2017-02-28,2017-02-28,698,EDU4,1,,,3425,TO,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,TOTCB,,PERSONNEL,45470000,3342,BR,,,,,,,,,3145,BK,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559709846,100
12508827,REFIP,PREMIUM,2017-02-28,2017-02-28,685,CIB1,1,,,10259,TO,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,TOTCB,,PERSONNEL,13907000,3334,BR,,,,,,,,,3145,BK,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559710501,100
12508862,REFIP,PREMIUM,2017-02-28,2017-02-28,700,FSR3,1,,,4011,TO,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,TOTCB,,PERSONNEL,350000,3344,BR,,,,,,,,,3145,BK,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559710677,100
12508974,REFIP,PREMIUM,2017-02-28,2017-02-28,669,HSR1,1,,,4006,TO,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,TOTCB,,PERSONNEL,254000,3337,BR,,,,,,,,,3145,BK,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559711364,100
12509060,REFIP,PREMIUM,2017-02-28,2017-02-28,700,FSR3,1,,,16168,TO,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,TOTCB,,PERSONNEL,179000,16166,BR,,,,,,,,,3145,BK,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559712099,100
12509115,REFIP,PREMIUM,2017-02-28,2017-02-28,670,ADD1,1,,,3387,TO,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,TOTCB,,PERSONNEL,540000,3335,BR,,,,,,,,,3145,BK,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559712306,100
12509129,REFIP,PREMIUM,2017-02-28,2017-02-28,685,CIB1,1,,,3400,TO,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,TOTCB,,PERSONNEL,30225000,3337,BR,,,,,,,,,3145,BK,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559712360,100
